Category,Filename,Title,Spectrum type,Real data or calculated model?,Image path,Image link,Big image path,Big image link,How,Source (text),Source (hyperlink),Source 2 (text),Source 2 (hyperlink),Credit,Additional Info,Notes
Atoms and Molecules,Neon_Emission,Neon Emission,Emission,,,https://drive.google.com/file/d/1M7y6M9rCqJrpei9AqQjhJhuIyQr3ozkb/view?usp=drive_link,,,,SI Data Labs Team,,,,Frank Sienkiewicz,,
Atoms and Molecules,Sodium_Absorption,Sodium Absorption,Absorption,,,salt?,,,,,,,,,,
Atoms and Molecules,Sodium_Low_Pressure_Emission,Sodium (low pressure) Emission,Emission,,,https://drive.google.com/file/d/1wK7PNmEz354DWQ4mSVzUaT-E9XyfXggL/view?usp=drive_link,,,,SI Data Labs Team,,,,Frank Sienkiewicz,,
Atoms and Molecules,Potassium_Absorption,Potassium Absorption,Absorption,,,banana,,,,,,,,,,
Atoms and Molecules,Calcium_Emission,Calcium Emission,Emission,,,milk,,,,,,,,,,
Atoms and Molecules,Iron_Emission,Iron Emission,Emission,,,iron,,,,,,,,,,
Atoms and Molecules,Mercury_Emission,Mercury Emission,Emission,,,https://drive.google.com/file/d/1nvOpc5-dJ5kH65vO_O-Qk76H-eC99s7M/view?usp=drive_link,,,,SI Data Labs Team,,,,Frank Sienkiewicz,,
Atoms and Molecules,Ammonia_Absorption,Ammonia Absorption,Absorption,,,ammonia image,,,,,,,,,,
Atoms and Molecules,Carbon_Dioxide_Absorption_Near_to_Mid_IR,Carbon Dioxide Absorption (Near to Mid IR),Absorption,,,symbol?,,,,,,,,,,
Atoms and Molecules,Carbon_Dioxide_Absorption_Mid_to_Far_IR,Carbon Dioxide Absorption (Mid to Far IR),Absorption,,,symbol?,,,,,,,,,,
Atoms and Molecules,Dry_Ice_Reflection,Dry Ice Reflection,Reflection,,,roy ,,,,,,,,,,
Atoms and Molecules,Ice_Reflection,Ice (Water) Reflection,Reflection,,,roy ,,,,,,,,,,
Atoms and Molecules,Iron_Oxide_Rust_Reflection,Iron Oxide (Rust) Reflection,Reflection,,,roy ,,,,,,,,,,
Atoms and Molecules,Methane_Visible_Absorption,Methane Visible Absorption,Absorption,,,cow poop :),,,,,,,,,,
Atoms and Molecules,Methane_Near_IR_Absorption,Methane Near IR Absorption,Absorption,,,cow poop :),,,,,,,,,,
Atoms and Molecules,Oxygen_Molecules_Absorption,Oxygen (Molecular) Absorption,Absorption,,,roy ,,,,,,,,,,
Atoms and Molecules,Ozone_Absorption_in_UV,Ozone Absorption (UV),Absorption,,,roy ,,,,,,,,,,
Atoms and Molecules,Ozone_Absorption_in_IR,Ozone Absorption (IR),Absorption,,,roy ,,,,,,,,,,
Atoms and Molecules,Water_Vapor_Absorption,Water Vapor Absorption,Absorption,,,roy ,,,,,,,,,,
Planets,Earth_Reflection,Earth Reflection,Reflection,,,,,,,,,,,,,
Planets,Earth_Emission,Earth Emission,Emission,,,,,,,,,,,,,
